Sign Name,Unicode code point
GE23 (DIŠ-tenû), 𒀹
GAM, 𒃵
GAM, 𒑲
ILIMMU4 (3×GE23), 𒑈
ILIMMU4 (3×GE23), 𒑳
KUR, 𒆳
KUR.KURinversum, 𒆴
ŠE, 𒊺
BU (GÍD), 𒁍
BUoverBUcrossed, 𒁐
SIRSIR (BUoverBU +AB), 𒁎
UZ (US), 𒊻
SUD (BU-gunû), 𒋤
MUŠ, 𒈲
UTUKI (KÚR.IR.GÍDIM), 𒍙
RI8 (MUŠoverMUŠ parallel or crossed), 𒈶
RI8 (MUŠoverMUŠ parallel or crossed), 𒈸
RI8 (MUŠoverMUŠ× A.NA), 𒈷
TIR, 𒌁
NINNI5 (TIRoverTIR), 𒌃
TIRoverTIR.GADoverGAD.NÍGoverNÍG, 𒌄
ŠEoverŠE.GADoverGAD.NÍGoverNÍG, 𒊼
ŠEoverŠE.TABoverTAB.NÍGoverNÍG, 𒊽
UoverU.SURoverSUR, 𒌏
UoverU.PAoverPA.NÍGoverNÍG, 𒌎
TE, 𒋼
KAR (TE.A), 𒋼 &  𒀀
LIŠ, 𒇺
:(division sign), 𒑱
TAB variant old, 𒑊
Number 1/4(Kültepe), 𒑢
"KAM (ḪI×BAD), variant form", 𒆚
UD (BABBAR), 𒌓
ÍTIMA (UD×MI), 𒌖
PI, 𒉿
PIoverPIcrossed/TALTAL, 𒊉
PI×AB, 𒊁
PI×I, 𒊅
PI×BI, 𒊂
PI×Ú, 𒊈
PI×E, 𒊄
PI×BU, 𒊃
PI×U, 𒊇
PI×IB, 𒊆
PI×A, 𒊀
ŠÀ (ŠAG4), 𒊮
ŠÀ×BAD, 𒊰
ŠÀ×TUR, 𒊴
ŠÀ×NE, 𒊲
ŠÀ×GIŠ, 𒊱
ŠÀ×UD,
ŠÀ×U, 𒊵
BIR6 (ŠÀ× U.A), 𒊶
ŠÀ×MI,
PEŠ4 (ŠÀ×A), 𒊯
ŠÀ×ŠÚ, 𒊳
UD.MUNUS.ḪÚB, 𒌓 &  𒊩 &  𒄸
ÚḪ (UD.KÚŠU), 𒌔
ERIM (ZÁLAG), 𒂟
PÍR,use  𒂟 ERIN2
NUNUZ, 𒉭
NUNUZ.ÁB,
NUNUZ.KISIM5,
LAḪTAN (NUNUZ.ÁB/KISIM5×LA), 𒉴
LÁḪTAN (NUNUZ.ÁB/KISIM5×SÌLA), 𒉶
NUNUZ.ÁB/KISIM5×KÀD, 𒉳
ÙSAN (NUNUZ.ÁB/KISIM5×AŠGAB), 𒉮
NUNUZ.ÁB/KISIM5×NE, 𒉵
MÙD (NUNUZ.ÁB/KISIM5×BI), 𒉯
MÙD (NUNUZ.ÁB/KISIM5×BI), 𒉸
NUNUZ.ÁB/KISIM5×BI .U (MÙD.U), 𒉹
NUNUZ.ÁB/KISIM5×GU4, 𒉱
NUNUZ.ÁB/KISIM5× Ú.BA,
NUNUZ.ÁB/KISIM5×DUG, 𒉰
NUNUZ.ÁB/KISIM5× GÚG.BÙLUG,
NUNUZ.ÁB/KISIM5× BÙLUG.GÚG,
NUNUZ.ÁB/KISIM5×SIG7, 𒉲
ZIB, 𒍦
ZIBinversum, 𒍧
EŠ23, 𒑋
Number 1/6(Kültepe), 𒑡
ḪI (DÙG), 𒄭
ŠAR, 𒊹
TÍ, 𒎗
"SÙR (ḪI.AŠ, ḪI×AŠ)", 𒄮
A', 𒀪
AḪ (ḪI×NUN), 𒄴
AḪ.KASKAL, 𒄴 &  𒆜
AḪ.ME, 𒄴 &  𒈨
AḪ.ME.U, 𒄴 &  𒈨 &  𒌋
KAM (ḪI.BAD),
IM, 𒅎
IM, 𒉎
IMoverIMcrossed, 𒅐
4×IM forming a cross, 𒅒
IM×KÍD, 𒅏
BIR (ḪI×ŠE), 𒄵
ḪAR (ḪI×ÁŠ), 𒄯
ḪUŠ (ḪI×GÌR), 𒍽
SUḪUR, 𒋦
GE22, 𒍻
, 𒀺
ZUBUR,
, 𒍭
ŠÚŠUR, 𒀽
ŠÁR×GAD, 𒄲
ŠÁR× GAL.DIŠ, 𒐲
ŠÁR× GAL.MIN, 𒐳
ŠÁR×U, 𒐬
ŠÁR×U-gunû,
ŠÁR×MAN, 𒐭
ŠÁR×EŠ, 𒐮
ŠÁR×EŠ, 𒐯
ŠÁR×NIMIN, 𒐰
ŠÁR×NINNU, 𒐱
"ŠÁR×DIŠ, also ḪI×DIŠ?", 𒄱
ḪI×KIN, 𒄳
